AddEn,AddSc,AddTc,DefaultFlag,LocLat,LocLon,NameEn,NameSc,NameTc,OpeningHours,Region,Remark,RemarkEn,RemarkSc,RemarkTc,Services,Tel,Times
"Shop 127, Level 1, MCP Discovery, Tseung Kwan O",將軍澳MCP Discovery一樓127號舖,將軍澳MCP Discovery一樓127號舖,N,22.322175,114.257179,Tseung Kwan O Metro City Plaza,將軍澳新都城中心分行,將軍澳新都城中心分行,true,Kowloon,,,,,"1,2,4,7,8",2927 2101,24 Service hours
"Golden Crown Court, 66-70 Nathan Road, Tsimshatsui (Turn Right at the exit D1 of Tsimshatsui MTR Station. Near junction of Nathan Road and Carnarvon Road.)",尖沙咀彌敦道66-70號金冠大廈(港鐵尖沙咀站D1出口右轉，近彌敦道和加拿芬道交界),尖沙咀彌敦道66-70號金冠大廈(港鐵尖沙咀站D1出口右轉，近彌敦道和加拿芬道交界),N,22.297776,114.172538,Tsimshatsui,尖沙咀分行,尖沙咀分行,true,Kowloon,,,,,"1,3,6,7,8",2366 9121,24 Service hours
"Shop No. G3C, Ground Floor, Temple Mall South, Wong Tai Sin",黃大仙黃大仙中心南館地下G3C號舖,黃大仙黃大仙中心南館地下G3C號舖,N,22.341423,114.194606,Wong Tai Sin,黃大仙分行,黃大仙分行,true,Kowloon,,,,,"1,3,5,6,7,8,9",2326 5165,Within business hour of the mall / shopping centre
"561 Nathan Road, Yaumatei (Exit A1 of Yaumatei MTR Station. Near junction of Nathan Road and Hamilton Road)",油麻地彌敦道561號(港鐵油麻地站A1出口，近彌敦道和咸美頓街交界),油麻地彌敦道561號(港鐵油麻地站A1出口，近彌敦道和咸美頓街交界),N,22.314428,114.170185,Yaumatei,油麻地分行,油麻地分行,true,Kowloon,,,,,"1,6,7,8,9",2782 1339,24 Service hours
Display showcase 1B on Ground Floor of Hongkong International Trade & Exhibition Centre,九龍灣展貿徑一號國際展貿中心地下陳列櫃01B,九龍灣展貿徑一號國際展貿中心地下陳列櫃01B,N,22.324056,114.203707,Emax-HITEC,國際展貿中心,國際展貿中心,false,Kowloon,,,,,1,,Within business hour of the mall / shopping centre
"Shop 2, G/F, Edition 178, 178 Hing Fong Road, Kwai Chung",葵芳興芳路178號豐寓地下2號舖,葵芳興芳路178號豐寓地下2號舖,N,22.3599634,114.1282854,Kwai Fong,葵芳分行,葵芳分行,true,New Territories,,,,,"1,2,6,7,8,9",2487 8033,24 Service hours
"Shop 335 on Level 3, Ma On Shan Plaza, 608 Sai Sha Road, Ma On Shan",馬鞍山西沙路608號馬鞍山廣場三樓335號舖,馬鞍山西沙路608號馬鞍山廣場三樓335號舖,N,22.425479,114.231527,Ma On Shan Plaza,馬鞍山廣場分行,馬鞍山廣場分行,true,New Territories,,,,,"1,2,6,7,8,9",2929 4137,24 Service hours
"Shop Unit 108D-E, Maritime Square, 33 Tsing King Road, Tsing Yi",青衣青敬路33號青衣城108D-E號舖,青衣青敬路33號青衣城108D-E號舖,N,22.359217,114.107842,Maritime Square,青衣城分行,青衣城分行,true,New Territories,,,,,"1,2,7,8",2435 1368,Within business hour of the mall / shopping centre
"Shop 11 and 93-95, Ocean Walk (Previous Pierhead Plaza), 168-236 Wu Chui Road, Tuen Mun",屯門湖翠路168-236號海趣坊11及93-95號舖,屯門湖翠路168-236號海趣坊11及93-95號舖,N,22.372777,113.966455,Ocean Walk,海趣坊分行,海趣坊分行,true,New Territories,,,,,"1,3,6,7,8",2404 6931,Within business hour of the mall / shopping centre
"Shop 9, G/F, Lucky Plaza, Shatin",沙田好運中心地下9號舖,沙田好運中心地下9號舖,N,22.383036,114.190360,Shatin,沙田分行,沙田分行,true,New Territories,,,,,"1,3,4,5,6,7,8,9",2606 3533,24 Service hours
"G/F, Nos. 286-288 Sha Tsui Road, Tsuen Wan",荃灣沙咀道286-288號地下,荃灣沙咀道286-288號地下,N,22.369423,114.117018,Sha Tsui Road,沙咀道分行,沙咀道分行,true,New Territories,,,,,"1,2,6,7,8",2615 1510,24 Service hours
"Shop B, G/F, Siu Kai House, 55-59 San Fung Avenue, Sheung Shui",上水新豐路55-59號兆啟樓地下B號舖,上水新豐路55-59號兆啟樓地下B號舖,N,22.505032,114.127007,Sheung Shui,上水分行,上水分行,true,New Territories,,,,,"1,2,5,6,7,8",2671 5030,24 Service hours
"Units 53-54 on Level 1, Tai Po Plaza, No.1 On Tai Road, Tai Po",大埔安泰路1號大埔廣場地下53號及54號舖,大埔安泰路1號大埔廣場地下53號及54號舖,N,22.453211,114.169825,Tai Po,大埔分行,大埔分行,true,New Territories,,,,,"1,3,6,7,8,9",2667 2588,24 Service hours
"Shops 1 and 2 on Ground Floor, Grandeur Garden, 14-18 Chik Fai Street, 55-56 Tai Wai Road, Shatin",沙田大圍道55-56號積輝街14-18號金禧花園地下1及2號舖,沙田大圍道55-56號積輝街14-18號金禧花園地下1及2號舖,N,22.374662,114.177464,Tai Wai,大圍分行,大圍分行,true,New Territories,,,,,"1,2,6,7,8,9",2691 1272,24 Service hours
"Shop No. L120, First Floor, Tin Shing Shopping Centre, Tin Shing Court, 3 Tin Ching Street, Tin Shui Wai",天水圍天靖街3號天盛苑天盛商場1樓L120號舖,天水圍天靖街3號天盛苑天盛商場1樓L120號舖,N,22.4486571,114.0029617,Tin Shui Wai,天水圍分行,天水圍分行,true,New Territories,,,,,"1,3,5,6,7,8,9",2448 9008,Within business hour of the mall / shopping centre
"Dang Fat Mansion, 14-16 Tai Ho Road, Tsuen Wan",荃灣大河道14-16號登發大廈,荃灣大河道14-16號登發大廈,N,22.372696,114.116366,Tsuen Wan,荃灣分行,荃灣分行,true,New Territories,,CCC,,,"1,3,5,7,8",2492 8102,24 Service hours
"Shops 4 and 5 on G/F, Man Cheung Mansion, 52-62 Tuen Mun Heung Sze Wui Road",屯門鄉事會道52-62號萬祥樓地下4號及5號舖,屯門鄉事會道52-62號萬祥樓地下4號及5號舖,N,22.396490,113.974872,Tuen Mun,屯門分行,屯門分行,true,New Territories,,,,,"1,3,6,7,8,9",2441 6218,24 Service hours
"Shop 23, G/F, Tung Chung Crescent, 1 Hing Tung Street, Tung Chung, Lantau Island",大嶼山東涌慶東街1號東堤灣畔地下23號舖,大嶼山東涌慶東街1號東堤灣畔地下23號舖,N,22.288506,113.940625,Tung Chung,東涌分行,東涌分行,true,New Territories,,,,,"1,2,6,7,8",2109 3484,24 Service hours
"Shop Nos. A11-A14 & 110-112, Ground Floor, Flora Plaza, No. 88 Pak Wo Road, Fanling",粉嶺百和路88號花都廣場地下A11-A14及110-112號舖,粉嶺百和路88號花都廣場地下A11-A14及110-112號舖,N,22.4847102,114.1418990,Fanling,粉嶺分行,粉嶺分行,true,New Territories,,,,,"1,3,4,6,7,8,9",2677 8830,Within business hour of the mall / shopping centre
"Shop C, G/F, Len Shing Mansion, 162-168 Castle Peak Rd, Yuen Long",元朗青山公路元朗段162-168號聯昇樓地下C號舖,元朗青山公路元朗段162-168號聯昇樓地下C號舖,N,22.444307,114.027027,Yuen Long Castle Peak Road,元朗青山道分行,元朗青山道分行,true,New Territories,,,,,"1,3,4,6,7,8,9",2479 4555,24 Service hours
