id,name,address,is-24-hours,status,telephone,types
27172,Yuen Long Fung Nin Road ATM,"Yuen Long Fung Nin Road ATM,  Shop B at G/F and Whole 1/F, Man Cheong Building, 239 - 247 & 247A Castle Peak Road, Yuen Long, New Territories",True,open,,atm
27183,Admiralty ATM,"Admiralty ATM,  Shop No. C, UG/F, Far East Finance Centre, 16 Harcourt Road, Admiralty, Hong Kong",True,open,,atm
27184,188  Des Voeux Road Branch ATM,"Shop No. 7 on G/F, whole of 1/F - 3/F Golden Centre, 188 Des Voeux Road Central, Hong Kong",True,open,,atm
27187,Shan King Estate ATM,"Shan King Estate ATM,  Shop No. 214, 2/F, Shan King Commercial Centre, Shan King Estate, 1 Ming Kum Road, Tuen Mun",True,open,,atm
27188,PolyU HKCC Hung Hom Bay Campus ATM,"PolyU HKCC Hung Hom Bay Campus ATM,  UG/F, PolyU Hong Kong Community College (Hung Hom Bay Campus), 8 Hung Lok Road, Hung Hom, Kowloon",True,open,,atm
193,Aberdeen ATM,"Aberdeen ATM, Shop 4A, G/F, Aberdeen Centre Site 5, 6-12 Nam Ning Street, Aberdeen, Hong Kong",True,open,,atm
27190,Aqua Marine ATM,"Aqua Marine ATM,  ATM No. L011B, Ground Floor, Aqua Marine, 8 Sham Shing Road, Lai Chi Kok, Kowloon",True,open,,atm
27191,Oi Man Estate ATM,"Oi Man Estate ATM, Lift Lobby, 1/F, Oi Man Shopping Centre, 60 Chung Hau Street, Homantin, Kowloon",True,open,,atm
208,Fitfort ATM,"Fitfort ATM,  Shop No. U17, Upper Ground Floor of FitFort, 560 King’s Road, North Point, Hong Kong",True,open,,atm
27192,Kwun Tong Branch ATM,"Kwun Tong Branch ATM,  G/F, 414 Kwun Tong Road, Kowloon",True,open,,atm
1153,Hong Kong Disneyland Resort - Mystic Point ATM,"Hong Kong Disneyland Resort - Mystic Point ATM,  AL-531, MYSTIC POINT, HONG KONG DISNEYLAND RESORT, LANTAU, HONG KONG",True,open,,atm
27194,Olympian City  ATM,"Olympian City  ATM,  Shop Nos. 135 & 136, 1/F, Olympian City 2, 18 Hoi Ting Road, West Kowloon",True,open,,atm
1155,Tuen Mun Town Plaza ATM,"Tuen Mun Town Plaza ATM,  Shop 38, G/F, Tuen Mun Town Plaza Phase I, Tuen Mun , New Territories",True,open,,atm
27195,Kowloon City Branch ATM,"Kowloon City Branch ATM, Shop 2A, Ground Floor, Genius Court, No. 18 Fuk Lo Tsun Road, Kowloon City, Kowloon",False,open,,atm
