ACOP,ATM,ATMFCM,ATMRMB,Address,CDM,CHQ,CHQCUT,CS,Code,Disable,HourAMB,HourRemark,HourSat,HourSun,HourWeekdays,Name,Outlet,SDB,SEC,SubDistrict,WM
True,True,False,False,76 Village Road,True,False,N,True,793,True,24-hours,Accounts Opening or Enquiry (Personal) / Counter Service /  Wealth Management / Safe Deposit Box Service,09:00 - 13:00,,09:00 - 17:00,Happy Valley Prestige & Preferred Banking Centre,PNP,True,False,H02,True
False,True,False,True,"Shop No.9 on the Ground Floor, The Jolly House, 16 Lin Fa Kung Street West, Tai Hang",True,False,N,False,NA,True,24-hours,,,,,Tai Hang Jolly House,,False,False,H03,False
False,True,False,False,MTR Tin Hau Station (near Exit A),False,False,N,True,336,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),Counter Service,10:00 - 14:00,,10:00 - 18:00,MTR Tin Hau Station (MTR Station Office),MTR,False,False,H03,False
False,True,False,True,MTR Fortress Hill Station (near Exit A) (With Voice Navigation ATM),True,True,6:00pm,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Fortress Hill Station,,False,False,H03,False
True,True,False,False,233 Electric Road (With Voice Navigation ATM),True,True,5:30pm,True,782,True,24-hours,Accounts Opening or Enquiry (Personal) / Counter Service /  Wealth Management / Safe Deposit Box Service,09:00 - 13:00,,09:00 - 17:00,City Garden Prestige & Preferred Banking Centre,PNP,True,False,H03,True
True,True,False,True,335 King's Road,True,True,5:30pm,True,292,True,24-hours,Accounts Opening or Enquiry (Personal) / Counter Service /  Wealth Management / Securities Service / Safe Deposit Box Service,09:00 - 13:00,,09:00 - 17:00,North Point Branch,BR,True,True,H03,True
False,True,False,True,MTR North Point Station (Exit A),True,True,6:00pm,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR North Point Station,,False,False,H03,False
False,True,False,False,"Upper Ground Floor, Fitfort, 560 King's Road, North Point, Hong Kong",True,True,5:30pm,False,NA,True,Subject to Mall Opening Hours,,,,,Fitfort,,False,False,H03,False
False,True,False,True,"1/F of Residential & Amenities Complex, HK Shue Yan University, 10 Wai Tsui Crescent, Braemar Hill, North Point (With Voice Navigation ATM)",False,False,N,False,NA,True,24-hours,,,,,Hong Kong Shue Yan University,,False,False,H03,False
False,True,False,False,MTR Quarry Bay Station (West) (With Voice Navigation ATM),False,False,N,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Quarry Bay Station (West),,False,False,H03,False
False,True,False,False,"2/F., Kerry Centre, 683 King's Road",True,False,N,False,NA,True,Subject to Mall Opening Hours,,,,,Kerry Centre,,False,False,H03,False
False,True,False,False,MTR Quarry Bay Station (East),False,False,N,False,NA,False,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Quarry Bay Station (East),,False,False,H03,False
True,True,False,False,989 King's Road,True,True,5:30pm,True,220,False,24-hours,Accounts Opening or Enquiry (Personal) / Counter Service /  Wealth Management / Safe Deposit Box Service,09:00 - 13:00,,09:00 - 17:00,Quarry Bay Branch,BR,True,False,H03,True
False,True,False,False,"2/F of South Tower, Kornhill Plaza, 2 Kornhill Road, Quarry Bay",True,False,N,False,NA,True,Subject to Mall Opening Hours,,,,,Kornhill Plaza,,False,False,H03,False
False,True,False,False,"Area G, 1st Floor, Devon House, Taikoo Place, 979 King's Road",True,True,5:30 PM,False,NA,True,Subject to Mall Opening Hours,,,,,Taikoo Place Devon House Automated Banking Centre,,False,False,H03,False
False,True,False,True,MTR Tai Koo Station (near Exit B) (With Voice Navigation ATM)<br/>MTR Tai Koo Station (near Exit C),True,False,N,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Tai Koo Station,,False,False,H03,False
True,True,False,False,"Shop G408, G/F, Hsia Kung Mansion, 24 Taikoo Shing Road",True,False,N,True,270,True,24-hours,Accounts Opening or Enquiry (Personal) / Counter Service / Wealth Management,09:00 - 13:00,,09:00 - 17:00,Taikoo Shing Prestige & Preferred Banking Centre,PNP,False,False,H03,True
True,True,False,False,"Shop G15, G/F, Fu Shan Mansion, 25 Taikoo Shing Road",True,True,5:30pm,True,229,False,24-hours,Accounts Opening or Enquiry (Personal) / Counter Service /  Wealth Management,09:00 - 13:00,,09:00 - 17:00,Taikoo Shing Branch,BR,False,False,H03,True
False,True,False,True,MTR Sai Wan Ho Station (Concourse),False,False,N,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Sai Wan Ho Station,,False,False,H03,False
True,True,False,False,"Shop 6, 1/F, i-UniQ Residence, 295 Shau Kei Wan Road",True,False,N,True,223,True,24-hours,Accounts Opening or Enquiry (Personal) / Counter Service /  Wealth Management,09:00 - 13:00,,09:00 - 17:00,Shau Kei Wan Branch,BR,False,False,H03,True
False,True,False,False,MTR Shau Kei Wan Station (Exit D) (With Voice Navigation ATM),True,True,6:00pm,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Shau Kei Wan Station,,False,False,H03,False
False,True,False,False,MTR Heng Fa Chuen Station (near Exit A1),True,True,6:00pm,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Heng Fa Chuen Station,,False,False,H03,False
False,True,False,True,MTR Chai Wan Station (near Exit D) (With Voice Navigation ATM)  <br/>MTR Chai Wan Station (near Exit E),True,True,6:00pm,False,NA,True,Around 06:00 - midnight 01:00 (Follows Station First/Last Trains Service Hours),,,,,MTR Chai Wan Station,,False,False,H03,False
True,True,False,False,"G/F, Man Foong Industrial Building, 7 Cheung Lee Street",True,True,5:30pm,True,767,True,24-hours,Accounts Opening or Enquiry (Personal) / Counter Service /  Wealth Management,09:00 - 13:00,,09:00 - 17:00,Chai Wan Branch,BR,False,False,H03,True
False,True,False,False,"Shop 6, G/F, Cheerful Garden, Siu Sai Wan",True,True,5:30pm,False,NA,False,24-hours,,,,,Cheerful Garden Automated Banking Centre,,False,False,H03,False
False,True,False,False,"UG/F, Island Resort Mall, Siu Sai Wan",True,False,N,False,NA,True,Subject to Mall Opening Hours,,,,,Island Resort Mall,,False,False,H03,False
False,True,False,False,"Shop 8, G/F, Site 2, Aberdeen Centre",True,True,5:30pm,False,NA,True,Subject to Centre Opening Hours,,,,,Aberdeen Centre Automated Banking Centre,,False,False,H04,False
False,True,False,False,"G/F, Noble Square, 3 Wah Kwai Road, Aberdeen",True,False,N,False,NA,True,Subject to Mall Opening Hours,,,,,Noble Square,,False,False,H04,False
